Work Experience,Annual Salary
No,"$111,000 "
Yes,"$107,000 "
No,"$109,000 "
No,"$148,000 "
No,"$255,500 "
No,"$103,500 "
No,"$114,500 "
No,"$124,000 "
No,"$132,500 "
No,"$99,000 "
No,"$124,000 "
No,"$82,000 "
No,"$185,000 "
No,"$89,500 "
No,"$91,500 "
No,"$113,500 "
Yes,"$99,000 "
No,"$75,500 "
Yes,"$86,000 "
No,"$156,500 "
Yes,"$99,500 "
Yes,"$148,000 "
No,"$82,000 "
No,"$103,500 "
No,"$205,500 "
No,"$103,500 "
Yes,"$340,000 "
Yes,"$103,500 "
Yes,"$99,500 "
Yes,"$103,000 "
No,"$103,500 "
Yes,"$165,000 "
Yes,"$124,500 "
Yes,"$103,500 "
No,"$82,500 "
No,"$93,000 "
No,"$168,000 "
No,"$96,000 "
Yes,"$80,000 "
Yes,"$124,500 "
Yes,"$99,000 "
No,"$124,000 "
No,"$91,500 "
No,"$144,500 "
No,"$114,500 "
No,"$104,500 "
Yes,"$124,000 "
Yes,"$113,000 "
No,"$78,000 "
No,"$109,000 "
No,"$99,500 "
No,"$107,000 "
No,"$84,000 "
